"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c-arc-inside","__dup_8GSXTQ_2","8GSXTQ","F5M8IL",5,11.7255859118366,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_8GSXTQ_2","8GSXTQ","T8EB3B",6,24.783378050781,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_8GSXTQ_2","8GSXTQ","__dup_B2U6J7_1",4,20.4181999077532,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","BB0JP9","__dup_BB0JP9_1","YJXSIZ",3,7.81446999504725,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","BB0JP9","__dup_BB0JP9_1","EFZPSL",4,21.1757830623911,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","BB0JP9","__dup_BB0JP9_1","FWL00Q",5,19.0475626823156,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","9PDPW7","__dup_9PDPW7_1","__dup_270UK6_1",4,18.9356243832263,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","9PDPW7","__dup_9PDPW7_1","__dup_FIL6AB_1",5,14.7354899754515,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_RK53PX_1","RK53PX","__dup_HWQS19_1",5,15.5462526378734,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_A7YLIQ_2","A7YLIQ","BYWXJB",1,3.01419494465302,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","__dup_A7YLIQ_2","A7YLIQ","8UE4L3",1,18.8958068247568,25,NA,"duplicate-individual-individual"
"Real 375","c","c-arc-inside","J85R4L","__dup_J85R4L_1","A792ZU",4,4.88658796189175,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","J85R4L","__dup_J85R4L_1","F3QIL7",4,20.5585614968795,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","J85R4L","__dup_J85R4L_1","__dup_KY4G8M_1",4,9.33744948777098,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","J85R4L","__dup_J85R4L_1","__dup_270UK6_1",4,21.9598667649273,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","__dup_HH66K6_1","HH66K6","__dup_8GSXTQ_1",5,23.2438967333387,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","__dup_HH66K6_1","HH66K6","__union_226",6,0.984258823055604,6,NA,"duplicate-individual-union"
"Real 375","c","c-arc-inside","__dup_HH66K6_2","HH66K6","__dup_EKP7IN_1",6,19.8650819599186,25,NA,"duplicate-individual-duplicate"
"Real 375","c","c-arc-inside","RK53PX","__dup_RK53PX_2","TXIF7D",5,1.87822862227273,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","RK53PX","__dup_RK53PX_2","NKNRU0",5,23.5156987307542,25,NA,"individual-duplicate-individual"
"Real 375","c","c-arc-inside","RK53PX","__dup_RK53PX_2","__dup_9JC6RF_1",5,8.29108326321093,25,NA,"individual-duplicate-duplicate"
"Real 375","c","c-arc-inside","RK53PX","__dup_RK53PX_2","__dup_LLYLLX_1",5,18.4751754123826,25,NA,"individual-duplicate-duplicate"
"Real 375","d","adjacent","__dup_SLN0TF_2","SLN0TF","__union_90",1,119.9999999992,120,"self-duplicate",NA
