"fixture","class","subclass","idA","idB","idC","row","value","limit","relation","note"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","__dup_D8FYZV_3",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","__dup_D1WP48_2",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_57_a","__jog_57_b","__dup_PQX22G_3",1,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_58_a","__jog_58_b","6MGJYG",1,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-vertical","__jog_61_b","__union_105","__dup_KCBMY9_1",2,14.8799999999992,25,NA,"waypoint-union-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_63_a","__jog_63_b","4CHDK1",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_63_a","__jog_63_b","MNJU8T",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_63_a","__jog_63_b","__dup_9C6NW8_1",2,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","YPHFHF","__jog_64_a","__union_107",2,0,6,NA,"individual-waypoint-union"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","7KWRZK",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","SQ908D",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","Y1XZEW",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","31UG06",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","X20HK8",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","1Y8P15",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","GBGWZD",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","XL7AVE",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","B6IDBA",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","A3UZAN",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","8FLD1J",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","DWFFZL",2,18,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","__dup_4U7JTW_1",2,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","__dup_CAN12C_1",2,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-horizontal-offset-row","__jog_64_a","__jog_64_b","__dup_1W4GNT_1",2,18,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_64_b","__union_109","WCPXHD",2,22.5,25,NA,"waypoint-union-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_70_a","__jog_70_b","DGLT2F",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_70_a","__jog_70_b","L07M06",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_70_a","__jog_70_b","270UK6",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_70_a","__jog_70_b","__dup_YPHFHF_2",2,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","__jog_74_b","__union_121","GBGWZD",2,7.5,25,NA,"waypoint-union-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","9C6NW8",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","7U5NJD",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","6PX6PS",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","ELGVC6",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","J33BE0",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","J8XZ81",2,9,25,NA,"waypoint-waypoint-individual"
"Real 375","c","c2-horizontal-offset-row","__jog_75_a","__jog_75_b","__dup_YPHFHF_1",2,9,25,NA,"waypoint-waypoint-duplicate"
"Real 375","c","c2-vertical","YPHFHF","__jog_80_a","__union_107",2,0,6,NA,"individual-waypoint-union"
"Real 375","c","c2-horizontal-offset-row","__jog_80_a","__jog_80_b","7KWRZK",2,9,25,NA,"waypoint-waypoint-individual"
